t,x,y,z
0.764,2.551932156,3.029613323,18.61709264
0.766,2.561808146,3.071706694,18.53362418
0.768,2.572327371,3.11433425,18.45087866
0.77,2.58348778,3.157506882,18.36886075
0.772,2.59528758,3.201235667,18.28757534
0.774,2.607725235,3.245531863,18.20702753
0.776,2.620799461,3.290406907,18.12722269
0.778,2.634509233,3.335872413,18.04816638
0.78,2.648853772,3.381940164,17.96986444
0.782,2.663832555,3.428622114,17.89232296
0.784,2.679445303,3.475930379,17.81554826
0.786,2.695691989,3.523877237,17.73954695
0.788,2.712572826,3.572475125,17.66432591
0.79,2.730088274,3.621736633,17.5898923
0.792,2.748239034,3.671674502,17.51625357
0.794,2.767026046,3.72230162,17.44341745
0.796,2.786450489,3.773631018,17.37139201
0.798,2.806513778,3.825675869,17.30018559
0.8,2.827217562,3.878449479,17.22980689
0.802,2.848563721,3.931965288,17.16026493
0.804,2.870554366,3.986236865,17.09156906
0.806,2.893191838,4.041277901,17.02372899
0.808,2.916478701,4.097102207,16.9567548
0.81,2.940417745,4.15372371,16.89065693
0.812,2.96501198,4.211156446,16.8254462
0.814,2.990264637,4.269414558,16.76113383
0.816,3.016179162,4.328512288,16.69773143
0.818,3.042759218,4.388463971,16.63525105
0.82,3.070008678,4.449284032,16.57370514
0.822,3.097931628,4.51098698,16.5131066
0.824,3.126532357,4.573587398,16.45346878
0.826,3.155815362,4.637099939,16.39480549
0.828,3.185785339,4.701539317,16.33713102
0.83,3.216447185,4.766920301,16.28046014
0.832,3.247805993,4.833257704,16.22480814
0.834,3.279867047,4.900566379,16.17019081
0.836,3.312635823,4.968861206,16.11662446
0.838,3.34611798,5.038157084,16.06412597
0.84,3.380319365,5.108468917,16.01271276
0.842,3.415245999,5.17981161,15.96240282
0.844,3.450904084,5.25220005,15.91321474
0.846,3.487299989,5.325649102,15.86516771
0.848,3.524440255,5.400173587,15.81828154
0.85,3.562331583,5.475788275,15.77257665
0.852,3.600980835,5.552507865,15.72807415
0.854,3.640395027,5.630346977,15.68479579
